,ISBN,bookTitle,yearOfPublication,publisher
2280,451523067,Emma,1994,New Amer Library Classics
2286,451526295,Mansfield Park (Signet Classics (Paperback)),1996,Signet Book
2292,451187903,Sense and Sensibility,1995,Signet Book
2298,553211978,Northanger Abbey (Bantam Classic),1985,Bantam Classics
2304,486290492,Sense and Sensibility (Dover Thrift Editions),1995,Dover Publications
2310,553212761,Mansfield Park (Bantam Classic),1983,Bantam Books
2316,460872125,Pride and Prejudice (Everyman Paperback Classics),1993,J.M. Dent  Sons
2322,192815466,Persuasion (World's Classics),1981,Oxford University Press
2328,451524195,Sense and Sensibility (Signet Classic),1989,Signet Classics
2334,553213105,Pride and Prejudice,1981,Bantam
2340,140431020,Lady Susan ; The Watsons ; Sanditon (Penguin English Library),1975,Penguin Books
2346,1853260002,Pride &amp; Prejudice (Wordsworth Classics),1997,NTC/Contemporary Publishing Company
2352,451525892,Sense and Sensibility,1997,Signet Classics
2358,760700435,Sense and sensibility,1996,Barnes  Noble
2364,140373373,Pride and Prejudice (Puffin Classics),1995,Puffin Books
2370,140430059,Persuasion: With a Memoir of Jane Austen,1998,Penguin USA (Paper)
2376,679783261,Pride and Prejudice (Modern Library Classics),2000,Modern Library
2382,451526368,Northanger Abbey (Signet Classic),1983,Signet Classics
2388,055321019X,Emma,1981,Bantam Books
2394,553211374,Persuasion,1984,Bantam Books
2400,375757422,Emma (Modern Library Classics),2001,Modern Library
2406,1857026012,The Wit and Wisdom of Jane Austen,1999,Fourth Estate
2412,140620753,Northanger Abbey (Penguin Popular Classics),1994,Penguin Books Ltd
2418,451523652,Pride and Prejudice,1988,New Amer Library Classics
2424,1566191432,Pride &amp; Prejudice,1993,Dorset Press
2430,140258175,Emma,0,Penguin Putnam~trade
2436,1566190932,Pride and Prejudice,1993,Barnes Noble Classics
2442,553213342,Sense and Sensibility (Bantam Classics),1995,Bantam Books
2448,375757295,Persuasion (Modern Library Classics),2001,Modern Library
2454,451525884,Pride and Prejudice,1996,Signet Book
2460,140620222,Pride and Prejudice (Penguin Popular Classics),1994,Penguin Books Ltd
2466,451519167,Pride and Prejudice,1961,Signet Book
2472,141439513,Pride and Prejudice (Penguin Classics),2003,Penguin Books
2484,192827618,Sense and Sensibility (World's Classics),1990,Oxford University Press
2490,1853260282,Emma (Wordsworth Classics),1997,NTC/Contemporary Publishing Company
2496,192833588,Sense and Sensibility (Oxford World's Classics),1998,Oxford University Press
2502,893756113,Pride and Prejudice,1997,Troll Communications
2508,486406482,Emma (Dover Thrift Editions),1999,Dover Publications
2514,812543122,Sense and Sensibility,1995,Tor Books
2520,451526384,Persuasion,1996,Signet Classics
2526,140434259,Sense and Sensibility,1999,Penguin USA (Paper)
2532,1853260320,Mansfield Park (Wordsworth Collection),1998,Wordsworth Editions Ltd
2538,140430164,Mansfield Park (Penguin Classics),1988,Penguin USA
2544,460110225,Pride and Prejudice (Everyman's Classics S.),1976,Tuttle Publishing
2550,460875299,Persuasion (Everyman's Library (Paper)),1994,Tuttle Publishing
2556,140434267,Pride and Prejudice (Penguin Classics),1997,Penguin Books
2562,704338238,Love and Friendship: And Other Early Works,1997,Trafalgar Square
2568,1851523588,Bedside Jane Austen,0,Chancellor Press
2574,019282760X,Pride and Prejudice (World's Classics),1990,Oxford University Press
2580,375759174,Northanger Abbey (Modern Library Classics),2002,Modern Library
2586,192824325,Emma (The World's Classics),1995,Oxford University Press
2592,451523237,Mansfield Park,1964,New Amer Library Classics
2598,393096688,Pride and Prejudice (Norton Critical Edition),0,W.W. Norton  Company Ltd
2604,1853260568,Persuasion (Wordsworth Collection),1998,NTC/Contemporary Publishing Company
2610,141439688,Persuasion (Penguin Classics),2003,Penguin Books
2616,553210181,Pride and Prejudice,1981,Bantam Books
2622,517415127,Pride &amp; Prejudice : Cha Riv *NR* (Chatham River Press Classics),1984,Random House Value Publishing
2628,553211218,Mansfield Park,1983,Bantam
2634,582330866,Pride and Prejudice (Longman Study Texts),1988,Longman Group United Kingdom
2640,B000051WXP,Emma,0,Random House
2646,192815032,Pride and Prejudice,1987,Oxford University Press
2652,192833553,Pride and Prejudice (Oxford World's Classics),1998,Oxford University Press
2658,192833618,Persuasion (Oxford World's Classics),1998,Oxford University Press
2664,140430741,Northanger Abbey (English Library),1972,Penguin USA
2670,1853260436,Northanger Abbey (Wordsworth Collection),1998,Wordsworth Editions Ltd
2676,140238212,Pride and Prejudice,1995,Penguin Books Ltd
2682,460010212,Sense and Sensibility,1979,J m Dent  Sons Ltd
2688,812523369,Pride and Prejudice,1994,Tor Books
2694,140059598,Mansfield Park,1983,Penguin Books Ltd
2700,679405429,Pride and Prejudice (Everyman's Library Series),1991,Unknown Publisher - Being Researched
2706,760701652,Emma,0,Barnes Noble Books
2712,076240566X,Sense and Sensibility (Giant Courage Classics),1999,Courage Books
2718,192827596,Persuasion (World's Classics),1990,Oxford University Press
2724,9626340762,Northanger Abbey (Classic Literature with Classical Music),1996,Naxos Audiobooks Ltd.
2730,140430474,Sense and Sensibility (Penguin Classics),1969,Penguin USA
2736,019282757X,Mansfield Park (World's Classics),1990,Oxford University Press
2742,192827561,Emma (World's Classics),1990,Oxford University Press
2748,1593080484,Persuasion,2003,Barnes  Noble Books-Imports
2754,1561387053,Sense and Sensibility,1996,Courage Books
2760,2264023813,Raison et Sentiments,1999,Editions 10/18
2766,2264023805,Northanger Abbey,2000,Editions 10/18
2772,486295559,Persuasion (Dover Thrift Editions),1997,Dover Publications
2778,192815040,Emma (World's Classics),1983,Oxford University Press
2784,1593081065,Mansfield Park (Barnes &amp; Noble Classics),2004,Barnes  Noble Publishing
2790,1853268496,Sense and Sensibility,0,Universal Sales Marketing
2796,1853260169,Sense and Sensibility (Wordsworth Classics),1997,NTC/Contemporary Publishing Company
2802,3746651042,Mansfield Park.,2000,Aufbau Tb
2808,614298458,A Jane Austen Miscellany,1996,Dovetail Books
2814,2264024704,Mansfield Park,1996,Editions 10/18
2820,140434151,Emma (Penguin Classics),1997,Penguin Books
2826,681005718,Jane Austen: Great Classic Library,1994,Longmeadow Press
2832,1572700955,Mansfield Park (Cover to Cover Classics),1999,Audio Partners
2838,895771985,Pride and Prejudice (The World's Best Reading),1984,Readers Digest Assn
2844,3829030010,Northanger Abbey (Konemann Classics),1999,Konemann
2850,517385899,Pride And Prejudice (Combat Aircraft Library),1988,Random House Value Publishing
2856,140378502,Sense and Sensibility (Puffin Classics - the Essential Collection),1996,Puffin Books
2862,140430105,Emma (Penguin Classics),1966,Penguin Books
2868,755000951,Great Novels of Jane Austen,0,Dempsey Parr
2874,019283357X,Emma (Oxford World's Classics),1998,Oxford University Press
2880,192833634,Mansfield Park (Oxford World's Classics),1998,Oxford University Press
2886,451523725,Northanger Abbey,1983,New Amer Library Classics
2892,804900019,Pride and Prejudice,1980,Airmont Pub Co
2904,2253140732,Emma,1997,LGF
2910,460874675,Emma (Everyman's Library (Paper)),1995,Tuttle Pub
2916,140434143,Mansfield Park (Penguin Classics),1996,Penguin Books
2922,140434674,Persuasion (Penguin Classics),1999,Penguin Books
2934,684843420,Sanditon: Jane Austen's Last Novel Completed,1998,Touchstone
2940,140259449,Complete Novels of Jane Austen,0,Penguin Books Ltd
2946,3895082074,Pride and Prejudice (Konemann Classics),1996,Konemann
2952,451522893,Persuasion,1988,New Amer Library Classics
2958,460010247,Emma,1976,J m Dent  Sons Ltd
2964,439101352,Pride and Prejudice (Scholastic Classics),2000,Scholastic
2970,046087294X,Mansfield Park (Everyman Paperback Classics),1993,Tuttle Publishing
2976,553211102,Sense and Sensibility,1982,Bantam
2982,486414124,Northanger Abbey (Dover Thrift Editions),2000,Dover Publications
2988,140106499,Penguin Complete Novels of Jane Austen,1995,Penguin Books
2994,140434135,Northanger Abbey (Penguin Classics),1996,Penguin Books
3000,2264023821,Orgueil et PrÃ?Â©jugÃ?Â©s,2000,Editions 10/18
3006,385487266,Mansfield Park (New York Public Library Collectors Editions),1997,Doubleday Books
3012,451518349,Northanger Abbey,1965,Penguin Putnam~mass
3024,192835211,Catharine and Other Writings (Oxford World's Classics),1998,Oxford University Press
3030,553211595,Emma,1984,Bantam
3042,192815261,Mansfield Park (The World's Classics),1981,Oxford University Press
3048,451520750,Pride and Prejudice,1961,Signet Book
3054,563371900,Pride and Prejudice (BBC Series),1995,Bbc Pubns
3060,393960145,Emma: An Authoritative Text Backgrounds Reviews and Criticism (A Norton Critical Edition),1993,W W Norton  Co Inc
3066,375756736,Sense and Sensibility (Modern Library Classics),2001,Modern Library
3072,895775824,Emma (World's best reading),1994,Reader's Digest Assoc
3078,8817150541,Ragione E Sentimento,0,Rizzoli - RCS Libri
3084,486415856,Mansfield Park,2001,Dover Publications
3090,375757813,Mansfield Park (Modern Library Classics),2001,Modern Library
3096,679601929,Northanger Abbey (Modern Library (Hardcover)),1995,Modern Library
3102,451521854,Sense and Sensibility,1961,Signet Book
3108,3257229461,Die Abtei von Northanger.,1996,Diogenes Verlag
3114,141439661,Sense and Sensibility (Penguin Classics),2003,Penguin Books
3120,1593080204,Pride and Prejudice (Barnes &amp; Noble Classics),2003,Barnes  Noble Books-Imports
3126,681218894,Emma,0,Hunter Publishing+inc
3132,749336269,Emma,1996,Mandarin
3138,141439807,Mansfield Park (Penguin Classics),2003,Penguin Books
3144,8817123749,Orgoglio E Pregiudizio,1999,Rizzoli - RCS Libri
3150,140432671,The Juvenilia of Jane Austen and Charlotte Bronte (Penguin Classics),1986,Penguin Books
3156,749336412,Emma,1996,Arrow
3162,451516621,Pride and Prejudice,1961,Signet Book
3174,679409866,Persuasion (Everyman's Library (Cloth)),1992,Alfred A. Knopf
3180,812565886,Persuasion,1999,Tor Books
3186,460018930,Northanger Abbey,1977,J m Dent  Sons Ltd
3192,1551111314,Persuasion (Broadview Literary Texts),1998,Broadview Press
3198,451522265,Pride and Prejudice,1961,Signet Book
3204,330029487,Mansfield Park; (Pan classics),1972,Pan Books
3210,330029495,Sense and sensibility; (Pan classics),1972,Pan Books
3216,393997715,Pride and Prejudice,0,R.S. Means Company
3222,1551114798,Northanger Abbey,2002,Broadview Press
3228,451075226,Watsons,1977,New American Library
3234,141439580,Emma (Penguin Classics),2003,Penguin Books
3240,760727813,Persuasion,1999,Barnes  Nobel
3246,582529131,Pride and Prejudice,1985,Addison-Wesley
3252,3257219644,GefÃ?Â¼hl und Verstand.,1991,Diogenes Verlag
3258,451525019,Mansfield Park (Signet Classic),1988,New Amer Library Classics
3264,8466304045,Orgullo y prejuicio,2001,Punto de Lectura
3270,8489854947,Lady Susan,2000,Ediciones del Bronce
3276,8432038776,Emma (Clasicos Universales Planeta),1998,Planeta
3282,192802372,Emma                                                                       ` (Oxford World's Classics),2003,Oxford University Press
3288,395051010,Pride and Prejudice (Riverside Editions),1956,Houghton Mifflin Company
3294,8437606780,Orgullo y Prejuicio,2000,Ediciones Catedra S.A.
3300,393960188,Persuasion: Authoritative Text Backgrounds and Contexts Criticism (Norton Critical Editions),1995,W. W. Norton  Company
3306,786881836,Emma,1996,Hyperion Books
3312,679601937,Emma (A Modern Library Giant),1998,Modern Library
3318,192510215,Mansfield Park (The World's classics),1980,Oxford University Press
3324,067941715X,Northanger Abbey (Everyman's Library),1992,Everyman's Library
3330,679601910,Persuasion (Modern Library (Hardcover)),1995,Modern Library
3336,394718925,The Complete Novels of Jane Austen,1976,Random House Inc
3342,1582791759,Mansfield Park,2001,Trident Press International
3354,517888335,The Illustrated Letters of Jane Austen,1996,Clarkson N Potter Publishers
3360,192828231,Catharine and Other Writings (The World's Classics),1993,Oxford University Press
3366,679601945,Mansfield Park (Modern Library of the World's Best Books),1995,Modern Library
3372,019282760x,Pride and Prejudice (World's Classics),1990,Oxford University Press
3378,671443895,PRIDE PREJUDICE,1982,Pocket
3384,140057749,Pride and prejudice,1980,Penguin Books
3390,451515536,Sense and Sensibility in Childbirth,1961,Signet Book
3396,185326847X,Northanger Abbey,0,Universal Sales Marketing
3402,140239316,Sense and Sensibility,1996,Penguin Putnam~trade
3408,3895082333,Sense &amp; Sensibility (Konemann Classics),1998,Konemann
3414,3190025355,Pride and Prejudice,1999,Max Hueber Verlag
3420,395202841,Sanditon,1975,Houghton Mifflin
3426,192804782,Sense and Sensibility (Oxford World's Classics),2004,Oxford University Press
3432,192802380,Pride and Prejudice (Oxford World's Classics),2004,Oxford University Press
3438,B00005BBW4,Sense and Sensibility,0,Random House
3444,078711068X,Emma (Ultimate Classics.),1996,Audio Literature
3450,8426108687,Orgullo Y Prejuicio,1996,Juventud
3456,1843910608,Love and Friendship,2003,Hesperus Press
3462,019280264X,Mansfield Park (Oxford World's Classics),2003,Oxford University Press
3468,192822845,Jane Austen: The Complete Novels,1994,Oxford Univ Pr
3474,760701660,Emma,1996,Barnes  Noble Inc.
3480,681218908,Sense and Sensibility,0.0,Hunter Publishing+inc
3486,393962946,Pride and Prejudice: An Authoritative Text Backgrounds and Sources Criticism (A Norton Critical Edition),1993.0,W W Norton  Co Inc
3492,9580412340,Persuasion,1992.0,Norma
3498,553582909,Icebound,2000,Bantam Books
3500,425181111,Strangers,2002,Berkley Publishing Group
3502,451181379,The Door to December,1994,Signet Book
3504,425142485,The Funhouse,1994,Berkley Publishing Group
3506,451205421,The Door to December,2002,Signet Book
3508,425124347,The Bad Place,1994,Berkley Publishing Group
3510,425115801,Lightning,1996,Berkley Publishing Group
3512,553582933,Winter Moon,2001,Bantam Books
3514,345384350,Icebound,1995,Ballantine Books
3516,425101452,Phantoms,1996,Berkley Publishing Group
3518,425098648,Night Chills,1996,Berkley Publishing Group
3520,425181103,Phantoms,2002,Berkley Publishing Group
3522,425188809,Watchers,2003,Berkley Publishing Group
3524,425092178,Strangers,1986,Penguin Putnam~mass
3526,034539657X,Dark Rivers of the Heart,1995,Ballantine Books
3528,425144429,Mr. Murder,1996,Berkley Publishing Group
3530,399138749,Mr. Murder,1993,Putnam Pub Group
3532,425118703,Midnight,1995,Berkley Publishing Group
3534,553582755,One Door Away from Heaven,2002,Bantam Books
3536,553582925,Tick Tock,2000,Bantam Books
3538,042513525X,Hideaway,1992,Berkley Publishing Group
3540,425153975,The Eyes of Darkness,1996,Berkley Publishing Group
3542,425121259,The Servants of Twilight,1996,Berkley Publishing Group
3544,399137734,Dragon Tears,1993,Putnam Pub Group
3546,425099334,Shattered,1993,Berkley Publishing Group
3548,425100650,Twilight Eyes,1995,Berkley Publishing Group
3550,034538430X,TickTock,1997,Ballantine Books
3552,425132951,The House of Thunder,1993,Berkley Publishing Group
3554,425057771,Phantom,1986,Berkley Publishing Group
3556,042518109X,Whispers,2001,Berkley Publishing Group
3558,553580221,False Memory,2000,Bantam Books
3560,425128164,The Voice of the Night,1996,Berkley Publishing Group
3562,425107469,Watchers,1996,Berkley Publishing Group
3564,425130711,Cold Fire,1996,Berkley Publishing Group
3566,553801376,One Door Away from Heaven,2001,Bantam Books
3568,425075699,Darkfall Can,1984,Berkley Publishing Group
3570,425085325,The Vision,1995,Berkley Publishing Group
3572,042511984X,The Face of Fear,1996,Berkley Publishing Group
3574,553801341,From the Corner of His Eye,2000,Bantam Books
3576,425104346,Darkfall,1996,Berkley Publishing Group
3578,425158594,Demon Seed,1997,Berkley Publishing Group
3580,425136981,Shadowfires,1994,Berkley Publishing Group
3582,425147517,The Key to Midnight,1995,Berkley Publishing Group
3584,345386108,Winter Moon,1995,Ballantine Books
3586,425071871,Darkfall,1984,Berkley Publishing Group
3588,399135790,Cold Fire,1991,Putnam Pub Group
3590,425119920,Strangers,1996,Berkley Publishing Group
3592,970998716,Dean Koontz: 3 Complete Novels (Dark Rivers of the Heart / Sole Survivor / Intensity),2001,Bright Sky Press
3594,055310666X,False Memory,1999,Bantam Books
3596,425140032,Dragon Tears,1995,Berkley Publishing Group
3598,425047075,Whispers,1981,Berkley Publishing Group
3600,425097773,Mask,1989,Penguin Putnam~mass
3602,425127583,The Mask,1989,Berkley Publishing Group
3604,8401495571,Espejo Mortal,1999,Giron Spanish Books Distributors
3606,044651490X,Oddkins: A Fable for All Ages,1988,Warner Books Inc
3608,044651974X,Strange Highways,1995,Warner Books
3610,425098605,The Vision,1997,Berkley Publishing Group
3612,425071278,Night Chills,1983,Berkley Publishing Group
3614,1560549785,Cold Fire,1992,Thorndike Press
3616,399133194,Lightning,1988,Putnam Pub Group
3618,1570422877,Strange Highways (The Strange Highways Collection ; No. 1),1995,Time Warner AudioBooks
3620,399138994,Mr. Murder,1993,Putnam Pub Group
3622,425081923,The Face of Fear,1985,Berkley Publishing Group
3624,553840215,Fear Nothing,1998,Bantam Books
3626,425097609,Whispers,1997,Berkley Publishing Group
3628,039913591X,Cold Fire,1991,Putnam Publishing Group
3630,425127265,The Bone Yard (Night Visions VI),1994,Berkley Pub Group
3632,399134980,The Bad Place,1990,Putnam Pub Group
3634,679425241,Dark Rivers of the Heart: A Novel,1994,Random House Inc
3636,425064476,Whispers,1983,Berkley Publishing Group
